type,spots_available,begin_date,municipality_code
VGO,6,08-01-2018,1991
VGO,6,13-11-2017,599
KDV,64,01-01-2010,855
KDV,16,01-08-2022,1952
BSO,40,01-01-2010,361
VGO,6,28-04-2022,1970
KDV,48,01-01-2010,352
VGO,6,08-02-2022,796
BSO,22,01-01-2010,1900
VGO,6,19-11-2010,542
BSO,40,07-03-2016,402
KDV,16,07-12-2012,268
VGO,6,12-10-2021,1982
BSO,50,11-02-2019,852
VGO,6,06-10-2010,243
VGO,6,08-04-2019,1982
KDV,32,01-09-2015,957
VGO,4,22-04-2015,772
VGO,6,19-04-2022,118
VGO,6,19-08-2021,171
VGO,6,01-08-2012,86
KDV,32,16-08-2011,453
VGO,6,26-10-2010,1911
BSO,32,27-03-2017,118
KDV,22,27-12-2017,505
BSO,45,22-09-2014,599
BSO,40,13-08-2007,1991
KDV,21,01-01-2010,14
KDV,32,01-09-2017,1742
BSO,80,01-01-2010,503
BSO,30,25-11-2021,758
VGO,6,27-10-2021,1669
VGO,6,06-10-2010,439
KDV,38,01-08-2019,345
VGO,6,15-09-2021,1970
VGO,6,15-01-2013,489
VGO,6,18-10-2010,861
BSO,50,20-01-2022,796
BSO,48,01-01-2010,518
BSO,100,01-01-2010,473
BSO,60,01-01-2011,1507
KDV,15,07-05-2015,1709
BSO,50,05-03-2012,439
VGO,6,09-09-2020,405
VGO,6,07-06-2012,1955
KDV,46,01-01-2010,160
BSO,50,21-07-2008,1892
KDV,30,21-08-2012,518
KDV,16,01-11-2021,855
VGO,6,02-09-2010,400
VGO,4,08-12-2010,629
VGO,4,17-11-2010,37
VGO,6,28-09-2010,1959
GOB,NaN,14-03-2012,779
VGO,6,11-08-2010,1952
KDV,55,01-01-2010,363
VGO,5,09-06-2020,1709
VGO,4,13-12-2010,1961
VGO,6,22-01-2021,183
KDV,16,01-05-2013,505
VGO,6,08-09-2010,1652
BSO,8,01-11-2012,96
VGO,6,01-11-2010,575
VGO,6,26-03-2014,1674
VGO,5,01-11-2011,160
VGO,6,26-08-2010,983
VGO,6,23-09-2010,363
VGO,6,13-06-2022,1900
KDV,97,18-02-2016,193
KDV,58,01-01-2010,1783
BSO,90,16-10-2015,637
VGO,6,18-10-2010,599
VGO,2,11-05-2010,166
VGO,4,17-10-2012,1903
VGO,6,02-09-2019,310
VGO,6,01-04-2022,501
BSO,53,01-07-2013,772
BSO,20,29-10-2007,200
VGO,6,10-12-2010,1700
BSO,33,01-01-2010,173
VGO,6,01-06-2022,74
KDV,40,01-01-2010,1982
VGO,6,09-05-2013,1892
VGO,4,01-08-2015,1969
KDV,23,01-03-2012,14
BSO,40,28-06-2013,1652
KDV,110,01-01-2010,363
VGO,6,23-03-2017,222
VGO,6,03-10-2019,797
BSO,24,01-11-2019,1969
VGO,4,29-10-2020,1948
VGO,6,16-02-2011,1900
VGO,6,13-06-2022,569
VGO,6,01-01-2022,1963
KDV,24,20-12-2017,1674
VGO,6,01-04-2020,202
KDV,13,11-09-2012,518
KDV,102,21-03-2014,34
VGO,6,16-11-2010,228
KDV,39,29-08-2011,984
KDV,28,01-01-2013,307
VGO,4,17-03-2022,794
VGO,6,31-08-2010,335
VGO,4,27-08-2018,1949
VGO,6,01-07-2015,1931
VGO,6,29-07-2010,375
KDV,56,01-01-2010,80
KDV,16,06-11-2020,34
KDV,32,20-07-2015,225
KDV,53,01-01-2010,1728
VGO,6,10-10-2019,637
KDV,86,01-01-2010,637
BSO,80,01-01-2010,361
KDV,16,01-01-2014,98
VGO,6,23-08-2017,228
GOB,NaN,16-07-2015,267
KDV,32,01-01-2015,267
VGO,6,21-10-2010,213
VGO,6,29-11-2010,203
VGO,4,24-09-2010,957
BSO,16,01-01-2014,772
VGO,4,08-11-2010,1658
GOB,NaN,28-05-2015,575
BSO,66,28-01-2019,344
BSO,20,27-05-2019,1900
BSO,30,01-01-2010,599
KDV,16,15-08-2016,1931
BSO,40,21-07-2010,1896
KDV,12,30-08-2016,203
KDV,30,01-01-2010,828
BSO,60,01-01-2010,498
VGO,6,19-08-2021,758
BSO,33,20-08-2018,361
KDV,16,07-03-2013,1721
VGO,6,01-01-2017,226
BSO,18,01-11-2014,308
VGO,6,18-02-2022,202
VGO,4,10-02-2017,1942
KDV,27,14-09-2015,772
VGO,6,28-09-2010,556
BSO,55,01-03-2011,1640
BSO,40,01-01-2010,498
BSO,88,01-01-2010,489
BSO,20,21-07-2020,473
VGO,6,15-09-2020,1948
KDV,16,12-08-2019,518
VGO,5,21-07-2021,1970
VGO,6,02-11-2020,189
BSO,32,01-01-2005,758
VGO,6,15-12-2020,453
VGO,6,18-01-2022,1942
BSO,54,07-12-2017,150
KDV,16,02-02-1995,197
VGO,6,10-12-2018,184
BSO,79,06-03-2008,1709
VGO,6,29-07-2021,994
VGO,6,21-01-2014,622
BSO,34,19-10-2015,180
VGO,6,15-01-2020,1742
VGO,6,14-07-2015,344
VGO,6,10-05-2022,216
KDV,32,30-01-2018,1674
VGO,6,26-01-2015,1728
VGO,6,07-02-2019,361
VGO,6,06-07-2020,375
VGO,6,01-11-2020,200
KDV,96,09-08-2012,394
BSO,22,04-04-2022,90
VGO,6,11-02-2022,1982
BSO,151,06-06-2011,484
VGO,6,18-09-2020,1979
VGO,6,19-06-2020,344
VGO,6,23-09-2010,14
VGO,6,29-06-2010,394
VGO,6,01-12-2010,518
KDV,32,18-08-2017,1982
VGO,6,20-08-2018,855
BSO,30,19-08-2010,590
KDV,40,01-01-2010,599
VGO,6,25-10-2010,209
KDV,59,03-10-2016,518
VGO,6,08-06-2020,983
BSO,16,01-07-2020,1586
KDV,80,01-01-2010,762
BSO,22,16-05-2022,14
KDV,52,01-01-2010,14
VGO,3,29-11-2017,177
BSO,24,01-01-2010,1667
KDV,19,05-07-2022,90
VGO,6,13-12-2018,1690
BSO,24,15-06-2016,1891
VGO,6,09-10-2012,1961
VGO,6,23-02-2016,269
KDV,57,01-01-2010,1959
KDV,16,01-01-2010,505
BSO,40,01-01-2010,361
VGO,6,01-09-2021,1982
BSO,27,02-01-2010,1734
KDV,32,13-09-2010,610
KDV,30,29-12-2010,796
KDV,56,19-09-2010,321
VGO,6,14-01-2011,296
BSO,150,03-11-2015,1621
VGO,6,06-01-2022,80
VGO,4,29-03-2022,518
BSO,40,05-08-2019,34
VGO,6,07-09-2016,873
KDV,29,12-12-2011,193
BSO,30,02-09-2013,352
VGO,6,11-11-2010,1982
KDV,16,01-12-2014,1674
KDV,15,08-07-2014,299
VGO,4,26-11-2010,1982
VGO,6,01-06-2016,106
KDV,56,31-03-2010,518
VGO,6,14-10-2010,34
VGO,4,08-11-2021,599
VGO,4,07-12-2010,1658
VGO,6,29-12-2020,537
VGO,5,22-11-2010,1930
VGO,6,06-02-2018,1940
BSO,33,27-09-2010,1955
VGO,6,08-03-2013,1991
KDV,47,01-01-2010,907
KDV,12,01-08-2016,353
KDV,40,01-08-2022,451
BSO,45,01-01-2010,344
VGO,6,30-08-2021,344
VGO,6,15-01-2015,610
VGO,6,22-08-2022,599
KDV,101,01-01-2010,394
VGO,6,06-12-2016,855
KDV,16,01-01-2016,363
BSO,17,23-08-2021,164
GOB,NaN,01-01-2010,736
VGO,6,03-07-2015,796
VGO,6,31-05-2012,392
VGO,6,11-02-2016,307
KDV,72,16-06-2014,484
KDV,16,25-03-2019,484
KDV,64,01-01-2010,1705
KDV,48,11-04-2012,147
VGO,6,27-08-2020,1740
VGO,6,31-05-2013,150
BSO,80,17-11-2008,310
VGO,6,12-11-2018,263
BSO,10,01-10-2017,141
VGO,6,19-09-2012,385
VGO,6,01-09-2016,1730
VGO,6,16-12-2016,534
VGO,6,26-07-2010,1883
VGO,6,21-09-2017,344
BSO,50,23-07-2012,606
KDV,31,18-12-2012,363
VGO,5,08-08-2013,1930
VGO,6,21-03-2022,503
KDV,14,04-03-2021,1681
BSO,22,01-01-2010,873
VGO,6,28-09-2018,1991
VGO,6,09-09-2015,118
BSO,60,01-01-2010,518
BSO,48,01-05-2008,1948
VGO,4,20-05-2019,148
KDV,51,10-02-2009,1509
KDV,16,26-10-2015,114
KDV,45,01-01-2012,772
BSO,16,28-08-2017,518
KDV,16,04-03-2016,361
VGO,6,02-09-2015,518
VGO,6,24-08-2011,855
BSO,120,05-09-2012,547
KDV,33,21-08-2014,995
KDV,64,01-01-2010,1581
VGO,6,01-12-2018,303
BSO,22,13-12-2018,606
KDV,16,27-08-2012,363
VGO,6,25-08-2010,1680
BSO,100,18-07-2008,1926
BSO,27,01-09-2015,114
BSO,22,22-12-2010,1982
GOB,NaN,01-01-2010,363
VGO,6,07-01-2011,1940
KDV,16,29-12-2010,796
VGO,6,07-10-2021,274
BSO,55,27-07-2012,171
KDV,16,29-12-2014,285
KDV,61,21-04-2022,575
VGO,3,14-03-2017,531
KDV,16,01-01-2010,772
KDV,35,01-01-2011,281
VGO,4,19-04-2021,537
VGO,6,10-05-2011,1969
VGO,6,04-01-2019,203
VGO,6,11-10-2021,166
BSO,84,20-08-2019,34
KDV,16,15-10-2015,622
KDV,24,10-05-2010,244
VGO,3,27-02-2017,1730
BSO,22,14-03-2022,203
VGO,4,01-09-2018,363
VGO,6,21-10-2010,861
BSO,20,11-04-2016,213
VGO,6,11-11-2020,222
KDV,16,01-02-2014,479
VGO,6,01-11-2017,482
VGO,6,19-01-2021,34
BSO,16,16-09-2010,779
KDV,16,25-11-2019,614
VGO,6,30-06-2016,244
VGO,6,24-03-2017,1728
BSO,44,19-08-2019,794
VGO,6,21-10-2010,1586
KDV,16,15-02-2012,597
KDV,8,19-02-2013,80
KDV,44,02-01-2012,1598
VGO,6,08-11-2018,1949
VGO,4,09-07-2013,363
BSO,20,01-01-2010,1842
VGO,6,23-08-2021,1696
VGO,6,07-12-2020,228
VGO,6,01-04-2019,193
BSO,40,08-01-2019,1676
VGO,6,07-08-2020,502
VGO,3,14-11-2017,301
VGO,6,23-06-2010,599
KDV,30,01-04-2016,294
VGO,6,26-01-2017,90
BSO,44,08-09-2010,1980
KDV,15,12-12-2016,1900
VGO,6,20-08-2013,1982
BSO,20,15-01-2015,1690
BSO,40,29-12-2014,285
BSO,41,14-12-2017,484
KDV,15,27-08-2014,363
VGO,6,21-04-2022,518
BSO,50,01-01-2010,302
VGO,6,01-08-2019,757
VGO,4,24-08-2020,530
BSO,20,01-04-2019,168
BSO,60,01-09-2010,193
BSO,30,01-01-2010,1959
KDV,32,17-09-2012,748
VGO,6,30-04-2018,230
VGO,6,27-05-2022,518
KDV,16,01-01-2010,193
KDV,32,26-06-2017,1982
KDV,32,12-11-2015,90
KDV,96,01-10-1998,1773
VGO,4,10-12-2010,263
VGO,6,18-10-2010,824
KDV,48,01-04-2012,363
KDV,32,01-01-2010,1719
BSO,50,29-06-2010,1783
KDV,71,01-01-2010,307
KDV,8,28-10-2019,34
BSO,40,01-01-2000,794
VGO,1,16-07-2020,202
VGO,6,02-06-2014,1525
BSO,35,29-09-2008,826
KDV,86,01-01-2010,402
BSO,42,06-09-2021,917
VGO,6,05-10-2010,402
BSO,70,01-01-2010,296
BSO,22,03-06-2019,484
VGO,6,14-01-2020,406
VGO,6,01-01-2011,855
BSO,25,02-09-2010,34
VGO,4,19-11-2010,1721
BSO,38,13-08-2019,363
VGO,6,30-03-2011,597
KDV,32,06-06-2014,758
VGO,6,15-02-2018,664
KDV,32,01-09-2017,1709
VGO,6,03-09-2010,166
