type,spots_available,begin_date,municipality_code
VGO,6,15-10-2010,60
VGO,4,26-11-2010,222
KDV,16,01-01-2019,148
BSO,16,18-04-2019,479
VGO,5,08-12-2010,402
KDV,16,18-10-2014,377
GOB,NaN,01-01-2010,361
KDV,64,02-01-2010,1734
KDV,80,01-01-2010,855
BSO,28,19-03-2019,106
VGO,6,24-12-2021,228
VGO,5,27-02-2015,363
KDV,40,01-01-2010,420
VGO,6,01-06-2011,599
BSO,18,31-03-2014,34
BSO,16,13-08-2020,1676
VGO,6,24-07-2018,1901
VGO,6,28-02-2019,796
VGO,5,30-09-2011,1876
VGO,6,09-08-2010,637
BSO,8,01-01-2005,797
VGO,3,23-06-2022,599
KDV,16,01-01-2014,344
KDV,43,27-02-2012,988
VGO,6,18-06-2018,1773
BSO,30,19-07-2018,1674
VGO,6,11-06-2012,451
VGO,6,23-12-2014,1911
VGO,3,02-11-2010,34
VGO,6,11-05-2010,166
VGO,6,16-07-2015,432
KDV,79,03-09-2010,275
VGO,6,30-04-2019,171
KDV,30,09-11-2004,228
KDV,28,17-11-2015,363
VGO,6,26-10-2010,150
BSO,44,02-04-2010,202
VGO,6,30-06-2021,599
VGO,6,01-01-2010,166
BSO,20,20-12-2013,268
VGO,2,19-02-2019,1708
VGO,6,15-02-2010,356
VGO,6,08-05-2012,553
KDV,16,01-09-2017,164
VGO,6,26-04-2022,225
BSO,22,28-10-2020,160
VGO,6,27-08-2010,80
VGO,4,09-01-2017,867
VGO,6,22-10-2010,47
VGO,6,17-12-2013,772
BSO,29,01-01-2022,1966
VGO,6,19-10-2021,200
KDV,16,03-10-2019,1931
BSO,77,01-01-2010,1728
KDV,16,03-11-2014,394
BSO,22,01-05-2016,512
VGO,6,24-03-2010,303
GOB,NaN,01-01-2010,748
KDV,35,01-01-2005,200
VGO,6,27-10-2020,530
VGO,6,14-04-2014,203
VGO,6,03-09-2010,1859
BSO,52,22-12-2010,502
VGO,6,14-09-2018,632
BSO,46,17-08-2015,214
VGO,6,17-09-2019,1842
VGO,4,26-05-2020,797
VGO,6,30-09-2021,1586
KDV,16,27-08-2018,344
KDV,37,17-08-2016,1621
VGO,6,21-06-2021,1961
GOB,NaN,23-12-2015,405
KDV,16,26-03-2012,1676
KDV,121,01-10-2012,202
VGO,6,07-12-2018,202
KDV,16,20-08-2014,505
GOB,NaN,01-04-2013,34
BSO,166,01-01-2010,344
VGO,4,30-01-2018,1926
VGO,6,20-05-2022,1680
VGO,6,04-04-2018,1900
VGO,4,03-08-2022,377
KDV,16,11-04-2014,363
VGO,6,31-12-2019,737
GOB,NaN,01-01-2010,1667
BSO,40,07-09-2009,935
KDV,16,18-11-2010,718
VGO,6,15-05-2017,1676
VGO,6,01-02-2021,361
BSO,43,01-02-2016,363
KDV,16,01-05-2012,758
VGO,6,14-10-2010,114
KDV,15,01-03-2016,599
KDV,48,01-01-2010,1742
KDV,47,01-01-2010,599
KDV,16,10-12-2012,1954
BSO,22,01-03-2022,375
KDV,82,21-12-2012,363
KDV,32,12-01-2012,392
VGO,6,01-04-2020,983
VGO,6,24-11-2020,518
BSO,28,01-01-2017,1742
GOB,NaN,20-01-2021,150
KDV,16,01-08-2011,1949
KDV,13,26-10-2012,363
BSO,40,01-01-2010,1708
KDV,44,03-09-2012,34
VGO,6,08-06-2010,90
VGO,6,01-11-2019,148
VGO,6,18-08-2010,171
BSO,30,01-01-2010,173
KDV,16,01-01-2018,106
VGO,6,24-08-2010,453
VGO,6,12-10-2021,637
KDV,48,02-01-2010,232
VGO,6,15-01-2019,865
BSO,50,10-08-2012,1948
KDV,16,01-11-2015,361
VGO,4,23-07-2013,1734
VGO,6,02-11-2017,537
KDV,48,01-01-2016,1586
BSO,40,23-08-2018,373
VGO,6,21-12-2010,479
VGO,5,16-02-2022,184
BSO,36,05-08-2019,518
KDV,16,01-09-2015,1895
VGO,6,09-06-2020,307
VGO,6,01-11-2010,361
VGO,6,04-08-2020,597
VGO,6,06-09-2020,677
KDV,40,01-01-2010,402
VGO,6,01-02-2015,988
VGO,6,02-09-2021,150
BSO,30,01-01-2010,453
BSO,22,03-06-2013,1709
BSO,38,04-06-2018,736
VGO,5,17-02-2012,1970
KDV,48,01-01-2010,777
VGO,6,11-08-2015,899
VGO,6,27-10-2010,518
VGO,6,29-04-2019,406
BSO,40,01-01-2010,1978
KDV,43,10-05-2010,148
BSO,90,29-07-2014,392
VGO,6,13-02-2020,344
BSO,30,01-09-2012,160
VGO,6,29-09-2016,342
KDV,16,01-05-2021,1700
BSO,14,27-11-2017,1900
KDV,28,30-10-2017,718
BSO,66,02-09-2019,344
KDV,32,22-02-2019,184
KDV,16,21-07-2014,119
KDV,52,01-01-2010,1911
VGO,6,18-01-2020,716
BSO,58,20-08-2012,518
KDV,16,18-07-2012,363
KDV,48,06-01-2012,1980
BSO,18,01-08-2018,274
KDV,13,22-04-2015,599
VGO,4,25-04-2016,1969
KDV,31,30-08-2019,1709
VGO,6,15-06-2015,1916
KDV,16,21-10-2019,274
KDV,39,02-04-2015,938
KDV,60,11-06-2018,228
VGO,6,22-05-2020,302
VGO,6,24-01-2022,599
VGO,6,28-11-2019,1959
BSO,22,16-10-2019,758
BSO,18,01-08-2019,363
KDV,16,14-05-2012,297
BSO,37,16-09-2019,1940
KDV,16,03-04-2018,599
VGO,6,29-10-2020,794
VGO,4,25-08-2016,1699
KDV,9,01-11-2021,1948
VGO,5,30-05-2018,716
VGO,6,23-03-2011,1876
VGO,6,03-03-2016,824
KDV,8,21-12-2017,1652
VGO,5,05-02-2013,202
BSO,40,01-01-2010,363
KDV,62,06-05-2013,629
BSO,48,01-01-2010,193
VGO,6,19-10-2010,1724
KDV,16,01-01-2019,484
VGO,6,19-12-2019,861
VGO,6,01-11-2018,1942
KDV,8,27-12-2018,353
KDV,32,27-08-2012,363
VGO,6,29-03-2019,938
BSO,20,20-02-2012,275
VGO,6,19-10-2015,356
KDV,88,28-03-2003,935
VGO,6,17-10-2019,14
VGO,2,01-12-2018,531
KDV,48,01-01-2010,1942
VGO,6,16-09-2010,855
VGO,6,11-06-2010,158
KDV,42,01-04-2016,439
BSO,22,01-11-2011,275
VGO,6,17-05-2022,482
VGO,6,01-06-2022,777
GOB,NaN,12-07-2018,1982
VGO,6,19-12-2016,489
VGO,6,08-09-2020,351
KDV,62,09-12-2013,1659
BSO,19,01-07-2021,758
VGO,6,01-02-2021,737
BSO,60,04-09-2017,163
KDV,16,25-11-2010,503
BSO,70,24-06-2009,1771
GOB,NaN,22-05-2013,1699
BSO,33,29-05-2019,758
VGO,6,18-05-2012,637
GOB,NaN,01-01-2010,228
VGO,6,06-05-2014,363
BSO,40,01-01-2005,363
BSO,60,01-01-2010,289
VGO,2,14-01-2015,1652
KDV,124,01-06-2010,363
VGO,6,20-10-2010,1969
BSO,44,01-01-2010,599
VGO,6,10-08-2022,303
BSO,22,17-07-2019,222
VGO,4,16-01-2013,983
VGO,6,01-10-2010,1883
KDV,24,01-03-2019,880
VGO,4,23-09-2010,59
VGO,6,29-09-2010,1904
KDV,16,09-09-2011,1729
VGO,6,04-10-2020,396
BSO,30,17-09-2012,748
KDV,16,17-02-2011,14
VGO,6,06-01-2015,342
KDV,60,01-01-1996,268
BSO,20,01-01-2010,893
BSO,70,19-10-2010,546
VGO,6,11-02-2022,1730
KDV,32,28-04-2015,518
VGO,6,07-05-2013,72
VGO,6,14-09-2010,1979
BSO,30,12-04-2010,148
KDV,14,24-09-2012,935
VGO,6,23-06-2010,1911
VGO,6,06-10-2010,530
BSO,135,23-02-2017,866
VGO,6,16-02-2010,532
VGO,6,01-07-2016,1700
KDV,36,06-04-2010,344
BSO,20,02-10-2017,106
VGO,6,30-08-2010,1969
VGO,6,28-09-2011,981
KDV,16,01-01-2010,177
KDV,46,18-08-2008,1948
BSO,12,20-08-2018,1734
BSO,50,02-05-2017,344
VGO,6,15-03-2021,200
VGO,6,01-01-2021,599
KDV,62,01-01-2010,503
KDV,16,29-08-2016,479
KDV,44,25-09-2012,748
KDV,28,01-02-2010,166
BSO,50,01-01-2010,1963
KDV,16,24-05-2017,1709
KDV,40,10-05-2010,335
VGO,6,15-12-2010,1960
KDV,33,31-05-2010,14
VGO,6,01-02-2014,855
VGO,6,03-09-2018,772
KDV,16,15-08-2012,518
KDV,14,21-03-2014,363
BSO,67,10-04-2008,772
VGO,6,03-11-2010,988
BSO,88,01-11-2012,355
VGO,4,23-04-2021,275
VGO,6,30-09-2010,1507
KDV,12,10-03-2011,50
VGO,6,03-02-2016,518
VGO,6,18-11-2014,216
VGO,6,24-03-2016,226
VGO,6,15-02-2014,1699
KDV,28,01-09-2018,193
BSO,50,15-10-2014,599
VGO,6,30-11-2020,772
VGO,6,26-07-2010,203
KDV,16,24-02-2014,642
BSO,24,10-10-2019,1891
VGO,6,30-06-2022,1900
VGO,6,27-08-2010,785
VGO,6,06-04-2019,1978
KDV,72,01-01-2010,362
VGO,6,20-05-2022,202
VGO,6,26-10-2010,34
KDV,42,03-04-2012,1676
VGO,6,04-12-2015,762
VGO,6,01-12-2014,363
VGO,6,16-08-2010,772
VGO,3,19-01-2016,537
VGO,6,02-12-2014,1700
BSO,70,26-08-2019,479
KDV,32,01-01-2014,1982
VGO,6,11-06-2020,150
KDV,60,04-06-2012,273
KDV,93,15-01-2001,753
VGO,4,07-12-2021,1783
KDV,16,01-01-2010,147
KDV,16,01-02-2010,1709
VGO,6,17-09-2013,590
BSO,24,04-09-2018,865
VGO,6,01-08-2022,173
VGO,5,19-07-2010,34
KDV,16,23-05-2019,1963
KDV,32,23-12-2010,772
KDV,33,01-01-2010,1883
VGO,4,29-12-2014,363
KDV,55,01-04-2003,1674
BSO,130,01-01-2010,362
VGO,6,30-06-2010,209
KDV,90,01-01-2005,737
BSO,72,01-09-2011,193
VGO,4,09-12-2010,981
KDV,32,12-11-2015,90
VGO,6,20-11-2012,106
KDV,15,28-12-2012,344
VGO,2,26-06-2017,537
VGO,6,05-09-2014,1676
KDV,16,01-07-2020,502
BSO,16,07-06-2011,202
BSO,32,12-10-2020,847
VGO,4,13-06-2022,171
VGO,2,10-05-2022,193
VGO,6,28-06-2017,420
VGO,6,04-02-2019,1708
VGO,6,15-08-2013,307
VGO,6,09-09-2020,363
BSO,20,01-01-2010,873
VGO,6,17-10-2014,150
VGO,6,26-05-2021,1783
KDV,42,07-09-2015,599
BSO,20,20-07-2021,193
VGO,6,09-12-2010,828
BSO,21,08-01-2007,606
KDV,29,23-11-2021,762
KDV,47,01-09-2011,599
VGO,6,04-03-2013,1859
VGO,6,22-03-2021,797
VGO,6,06-11-2018,267
VGO,6,26-07-2010,203
VGO,6,06-09-2021,599
VGO,6,16-03-2021,1978
VGO,4,31-05-2021,150
BSO,94,01-06-2015,166
BSO,40,01-01-2010,14
VGO,6,20-10-2010,1940
VGO,6,01-01-2019,917
BSO,50,01-01-2010,216
VGO,6,28-04-2015,252
VGO,6,18-03-2013,718
VGO,6,15-11-2010,344
VGO,6,15-01-2015,243
VGO,6,11-09-2018,1969
BSO,30,01-01-2010,392
KDV,13,01-01-2010,879
KDV,16,27-12-2017,193
VGO,6,24-01-2022,599
KDV,29,27-11-2013,363
VGO,6,15-11-2019,160
VGO,6,04-11-2010,935
VGO,6,24-06-2015,1892
KDV,16,06-05-2014,363
VGO,5,13-09-2018,90
GOB,NaN,24-07-2010,299
KDV,12,02-10-2015,34
KDV,40,01-01-2010,1966
BSO,68,16-07-2014,228
VGO,6,09-07-2019,394
KDV,32,01-01-2019,1966
KDV,50,01-01-2010,392
VGO,6,21-06-2012,1900
BSO,24,06-08-2020,484
VGO,6,06-01-2020,148
BSO,22,18-09-2013,1900
KDV,32,19-10-2010,301
VGO,4,01-02-2013,1948
KDV,25,01-01-2010,1774
VGO,6,03-02-2012,599
VGO,4,25-03-2021,90
VGO,6,20-08-2015,406
VGO,6,11-08-2022,173
KDV,28,07-10-2016,518
KDV,26,01-01-2010,363
VGO,6,01-02-2022,772
VGO,6,01-07-2015,1859
KDV,29,07-12-2017,342
VGO,6,13-02-2019,394
VGO,4,13-08-2019,153
VGO,6,31-08-2021,983
VGO,6,31-05-2017,294
VGO,6,14-10-2013,197
VGO,6,10-06-2015,1783
BSO,20,16-04-2015,758
BSO,44,14-04-2021,626
VGO,4,23-04-2019,153
BSO,20,24-07-2018,307
BSO,100,01-01-2010,344
KDV,16,01-08-2013,153
GOB,NaN,01-01-2010,1959
KDV,44,01-05-2014,575
VGO,2,27-01-2016,363
VGO,6,23-03-2017,865
VGO,6,14-09-2010,86
KDV,16,17-11-2016,626
BSO,41,14-09-2010,1674
VGO,4,24-09-2021,1783
VGO,6,16-08-2010,171
VGO,6,14-01-2019,1980
BSO,30,11-05-2007,1771
VGO,6,13-04-2010,1525
VGO,6,21-12-2020,228
BSO,36,20-04-2011,171
BSO,28,29-05-2017,1731
BSO,50,16-08-2021,823
VGO,2,28-09-2010,855
VGO,4,12-08-2010,983
VGO,6,05-02-2020,214
BSO,56,29-12-2009,1721
BSO,60,17-07-2015,226
BSO,16,08-07-2020,1586
VGO,4,08-12-2010,1859
KDV,30,01-10-2001,285
BSO,96,01-01-2005,90
VGO,6,19-11-2010,1894
KDV,48,01-01-2010,150
VGO,6,18-08-2010,14
KDV,10,01-07-2014,363
VGO,6,21-10-2015,865
VGO,3,19-08-2010,1900
VGO,6,20-03-2018,1708
KDV,29,01-01-2010,965
VGO,6,25-02-2021,80
VGO,6,24-11-2010,518
VGO,6,06-07-2010,1876
GOB,NaN,22-07-2015,1701
BSO,20,01-10-2018,855
VGO,6,06-07-2015,352
KDV,8,30-05-2013,1966
VGO,6,09-09-2020,1740
BSO,92,31-08-2010,1916
BSO,8,01-01-2010,1883
BSO,30,01-09-2017,439
KDV,16,03-09-2012,392
VGO,6,07-10-2010,281
VGO,6,29-03-2018,114
VGO,6,01-11-2019,935
BSO,120,15-10-2010,505
KDV,46,01-01-2010,394
KDV,22,28-03-2022,575
BSO,34,01-04-2014,794
VGO,6,15-04-2021,1940
GOB,NaN,01-04-2019,1969
KDV,6,01-10-2011,262
VGO,4,14-01-2022,1690
KDV,16,18-07-2019,183
VGO,4,26-04-2016,85
VGO,4,01-05-2018,1721
KDV,30,01-08-2022,274
VGO,6,01-12-2014,252
BSO,47,01-01-2010,1681
BSO,22,03-07-2015,363
VGO,6,08-06-2011,797
KDV,36,01-01-2005,603
KDV,62,01-01-2010,1658
KDV,44,24-01-2011,202
KDV,16,29-08-2018,1674
VGO,6,10-01-2022,1949
VGO,6,30-09-2013,90
BSO,44,06-09-2016,489
KDV,16,28-12-2012,344
KDV,6,18-01-2016,855
VGO,6,29-09-2020,14
VGO,6,21-04-2015,532
KDV,16,08-09-2017,202
VGO,6,16-08-2010,388
BSO,37,01-01-2010,1669
VGO,6,13-09-2010,852
VGO,6,05-08-2013,303
VGO,6,14-09-2020,518
VGO,5,22-07-2017,163
BSO,85,16-07-2010,244
VGO,6,08-11-2019,1621
VGO,6,13-03-2017,246
KDV,16,30-07-2020,513
VGO,6,22-09-2021,1954
KDV,56,30-12-2015,448
KDV,45,31-03-2011,85
VGO,6,13-12-2012,1900
BSO,45,16-09-2007,377
VGO,6,01-02-2018,1960
KDV,73,01-01-2010,362
VGO,6,24-08-2010,90
VGO,4,27-09-2012,965
KDV,24,01-08-2017,86
VGO,4,01-12-2019,1696
VGO,6,25-05-2022,307
VGO,6,06-10-2010,448
KDV,16,15-12-2014,1711
VGO,1,17-05-2017,1891
KDV,59,21-06-2011,603
VGO,4,23-04-2013,163
KDV,16,18-12-2012,1728
VGO,5,15-09-2015,1842
KDV,16,01-01-2021,203
BSO,70,08-03-2012,575
VGO,6,06-10-2017,289
VGO,6,01-12-2014,1659
VGO,6,02-05-2018,1891
KDV,48,01-01-2010,267
KDV,30,02-10-2014,797
KDV,16,03-06-2015,532
KDV,110,01-01-2010,599
KDV,52,01-01-2010,363
VGO,6,08-02-2021,828
VGO,6,11-08-2010,1911
VGO,6,01-09-2018,160
BSO,65,01-01-2010,518
VGO,4,26-01-2022,809
KDV,24,01-01-2010,1949
VGO,6,28-07-2022,200
BSO,36,09-12-2019,715
VGO,6,05-01-2022,80
VGO,6,11-07-2013,47
VGO,6,29-06-2022,531
GOB,NaN,02-01-2009,758
VGO,6,26-08-2010,1980
VGO,6,18-10-2010,1949
BSO,12,09-12-2016,1876
BSO,40,18-09-2015,226
VGO,6,01-07-2022,1911
VGO,6,13-08-2010,1705
BSO,100,01-01-2010,441
VGO,6,20-12-2021,14
VGO,6,31-08-2020,531
VGO,6,02-09-2010,453
VGO,6,01-01-2010,228
KDV,91,01-01-2010,1581
KDV,8,08-12-2010,1966
KDV,45,01-01-2010,14
KDV,33,01-01-2010,772
KDV,48,28-02-2022,363
BSO,40,01-01-2010,34
VGO,6,24-01-2022,599
VGO,4,21-12-2010,983
KDV,14,26-04-2011,392
BSO,60,01-01-2010,518
KDV,44,07-08-2017,214
VGO,4,16-03-2021,344
VGO,6,23-11-2020,1674
BSO,19,01-08-2021,200
VGO,6,02-07-2018,1940
KDV,48,01-01-2010,164
VGO,4,28-09-2011,80
BSO,66,06-12-2013,14
BSO,44,05-11-2014,80
VGO,6,01-09-2019,1949
KDV,16,10-12-2014,285
BSO,30,01-01-2010,394
VGO,6,28-03-2013,344
VGO,6,14-09-2010,855
KDV,16,30-09-2014,879
VGO,6,31-08-2010,361
VGO,6,17-03-2017,1966
KDV,16,30-11-2021,171
BSO,20,29-07-2015,363
GOB,NaN,01-01-2010,1883
KDV,32,01-03-2010,1900
VGO,6,09-09-2010,865
VGO,6,23-09-2020,80
VGO,6,23-09-2020,345
VGO,6,01-12-2020,200
VGO,4,08-11-2010,532
BSO,80,06-01-2012,363
VGO,6,12-08-2014,405
VGO,6,18-11-2020,177
BSO,22,23-08-2021,1949
KDV,64,14-03-2011,362
VGO,6,01-03-2016,310
VGO,6,11-08-2010,1952
KDV,28,01-01-2010,784
BSO,40,18-01-2018,503
KDV,10,19-12-2012,363
BSO,22,01-09-2021,1904
VGO,6,02-02-2018,85
VGO,6,03-11-2010,441
VGO,6,17-09-2021,622
KDV,16,16-03-2022,518
VGO,6,26-08-2020,1940
VGO,6,18-08-2022,553
VGO,6,01-10-2021,1954
KDV,80,29-10-2010,307
VGO,5,24-01-2018,503
BSO,18,23-12-2013,851
VGO,4,03-11-2010,777
BSO,40,01-11-2015,363
VGO,6,30-09-2010,1723
VGO,6,20-10-2014,80
BSO,35,01-01-2010,537
VGO,6,05-08-2010,1952
VGO,6,09-12-2019,228
KDV,16,15-04-2014,1954
KDV,45,01-01-2010,160
KDV,86,01-04-2012,14
KDV,16,16-07-2012,363
BSO,68,01-01-2010,796
KDV,16,30-06-2014,307
VGO,6,21-07-2021,513
BSO,64,01-01-2014,867
VGO,6,01-05-2022,482
VGO,6,08-02-2022,575
KDV,94,12-12-2013,352
VGO,6,09-04-2020,858
KDV,16,01-12-2014,502
KDV,86,01-01-2010,613
VGO,6,24-07-2014,197
KDV,80,01-01-2010,355
VGO,6,10-11-2010,1681
VGO,3,23-08-2021,1980
VGO,6,29-12-2015,1900
VGO,6,11-01-2021,274
VGO,6,20-07-2017,1963
KDV,16,01-11-2011,80
VGO,6,12-11-2018,166
KDV,16,01-12-2014,1674
VGO,6,23-03-2015,489
BSO,10,06-07-2021,166
BSO,14,02-11-2010,14
KDV,41,28-11-2011,344
VGO,6,21-10-2010,489
VGO,6,15-01-2020,200
VGO,6,17-09-2021,355
VGO,6,03-03-2021,984
KDV,16,29-10-2012,473
BSO,33,01-01-2010,687
GOB,NaN,01-01-2010,222
VGO,6,14-10-2020,356
VGO,6,03-12-2018,303
KDV,31,01-03-2016,599
KDV,64,01-01-2010,736
KDV,16,01-06-2014,216
VGO,5,05-07-2021,1674
VGO,6,02-10-2020,1783
VGO,6,01-08-2016,1730
BSO,33,09-08-2022,1705
BSO,22,01-01-2010,1942
GOB,NaN,01-01-2010,1734
VGO,3,17-09-2012,164
VGO,6,08-02-2022,1740
VGO,6,16-08-2022,826
BSO,41,01-01-2010,715
VGO,4,29-04-2019,1940
VGO,6,14-12-2021,826
KDV,64,01-01-2010,1842
VGO,6,01-03-2020,307
VGO,6,09-02-2016,233
KDV,16,06-12-2016,340
VGO,6,28-07-2010,1708
BSO,30,01-01-2010,632
VGO,6,29-03-2021,268
VGO,3,12-07-2021,599
BSO,20,25-01-2021,263
KDV,16,04-02-2015,1711
KDV,32,01-01-2010,37
VGO,4,17-02-2022,537
VGO,6,24-06-2019,448
KDV,108,19-07-2003,230
KDV,56,07-07-2009,1926
KDV,16,01-03-2016,599
VGO,6,17-06-2014,1952
VGO,6,01-06-2019,1883
VGO,6,12-02-2018,72
KDV,16,10-03-2014,796
KDV,61,01-01-2010,1640
KDV,16,24-01-2018,523
BSO,77,05-08-2011,1783
BSO,20,30-08-2010,1680
VGO,6,13-12-2019,189
KDV,48,01-12-2014,1674
VGO,4,24-12-2021,85
BSO,22,14-10-2019,200
VGO,6,29-04-2022,518
BSO,110,01-01-2010,489
KDV,32,01-01-2014,106
BSO,68,08-01-2018,599
KDV,80,01-01-1992,202
VGO,3,01-01-2022,310
VGO,6,17-02-2020,599
VGO,6,16-12-2021,1979
VGO,6,13-07-2010,1783
VGO,6,25-03-2019,214
VGO,5,10-03-2014,796
KDV,5,01-11-2019,718
KDV,16,01-01-2019,345
KDV,16,15-01-2015,1655
KDV,46,01-01-2010,363
VGO,4,01-08-2017,1970
KDV,59,01-01-2010,363
GOB,NaN,02-08-2012,796
KDV,48,04-09-2007,90
VGO,6,28-06-2010,243
VGO,6,12-08-2014,590
VGO,6,01-08-2012,518
VGO,4,09-09-2015,363
VGO,6,09-05-2022,758
VGO,6,16-12-2019,273
BSO,23,03-06-2016,202
BSO,22,01-09-2012,189
VGO,4,28-02-2012,957
BSO,34,30-06-2017,34
KDV,48,22-03-2017,1640
BSO,30,01-08-2012,193
VGO,6,22-01-2019,1959
VGO,6,16-08-2010,106
VGO,6,01-01-2010,228
VGO,6,13-09-2010,1700
BSO,16,21-10-2019,766
KDV,25,01-01-2010,394
VGO,6,28-11-2013,797
KDV,40,01-01-2017,345
VGO,6,15-11-2010,385
BSO,20,03-12-2020,1783
VGO,6,04-10-2021,228
VGO,6,05-10-2021,983
VGO,6,12-08-2015,273
VGO,6,21-01-2011,824
KDV,16,04-11-2015,74
VGO,6,06-11-2017,855
BSO,38,01-01-2010,243
KDV,18,01-03-2019,34
BSO,20,01-01-2018,796
KDV,16,02-03-2012,303
VGO,3,13-07-2021,148
BSO,28,16-03-2015,363
VGO,6,03-10-2019,1970
KDV,48,09-09-2014,610
VGO,6,15-10-2020,1730
KDV,16,01-01-2010,505
VGO,6,24-10-2019,1940
VGO,6,18-08-2010,1883
BSO,60,02-09-2014,345
KDV,15,01-01-2014,400
VGO,6,15-03-2022,502
BSO,33,01-01-2010,489
VGO,6,28-04-2016,1896
KDV,32,01-01-2010,505
VGO,5,01-05-2018,1509
KDV,16,01-09-2010,193
VGO,6,01-01-2011,405
VGO,6,12-08-2013,1961
VGO,6,14-07-2011,1652
VGO,6,14-09-2015,307
VGO,6,19-07-2016,303
VGO,6,13-08-2020,1955
VGO,6,13-12-2010,417
VGO,6,23-07-2018,243
KDV,16,01-01-2010,984
VGO,6,07-09-2021,855
KDV,38,03-12-2018,678
KDV,16,01-01-2005,737
KDV,64,16-05-2013,1696
KDV,16,12-11-2015,90
VGO,6,07-09-2010,177
VGO,6,01-05-2019,590
VGO,6,10-10-2018,193
KDV,28,27-02-2006,1966
VGO,3,26-04-2017,184
VGO,6,15-12-2021,150
VGO,6,27-11-2017,1969
BSO,33,23-07-2021,1982
VGO,4,16-12-2020,944
VGO,6,18-06-2021,150
VGO,3,27-09-2010,1959
KDV,16,05-01-2016,383
VGO,6,18-04-2011,344
KDV,32,24-08-2015,606
KDV,16,31-08-2020,537
BSO,55,24-10-2011,355
VGO,6,03-08-2010,505
VGO,4,17-09-2010,1509
KDV,28,01-01-2014,400
VGO,6,01-10-2018,193
VGO,6,23-02-2016,599
VGO,3,12-11-2021,233
VGO,6,16-11-2018,882
VGO,6,15-05-2017,193
VGO,6,01-10-2010,175
VGO,6,07-10-2010,946
KDV,16,03-12-2014,1911
VGO,6,12-07-2021,777
VGO,6,04-02-2016,275
KDV,28,16-08-2016,308
KDV,13,30-08-2011,363
VGO,2,13-02-2013,1507
KDV,32,01-11-2011,637
KDV,27,27-08-2020,344
KDV,41,01-01-2010,599
VGO,6,31-05-2014,1674
KDV,16,01-01-2010,797
BSO,50,01-01-2010,1961
VGO,4,15-07-2010,232
VGO,6,05-05-2021,473
BSO,16,25-04-2022,400
BSO,50,01-01-2010,1674
GOB,NaN,23-09-2021,396
VGO,6,30-03-2013,772
VGO,6,28-10-2011,995
VGO,3,21-09-2012,1586
BSO,43,01-01-2011,420
VGO,6,01-04-2018,1681
GOB,NaN,02-05-2009,553
BSO,120,01-01-2010,274
VGO,6,15-02-2019,796
GOB,NaN,15-03-2012,209
VGO,6,01-09-2010,392
VGO,6,08-02-2022,1979
VGO,2,23-07-2012,1991
BSO,42,28-08-2017,855
BSO,24,01-01-2020,14
VGO,6,25-08-2017,392
VGO,6,01-07-2010,268
KDV,16,17-06-2020,737
BSO,44,02-06-2014,1598
KDV,26,01-02-2016,777
BSO,38,20-12-2018,342
VGO,6,28-10-2010,317
VGO,6,08-09-2020,158
VGO,5,14-10-2019,503
KDV,24,04-09-2013,579
VGO,6,28-08-2020,632
BSO,52,20-08-2007,606
VGO,6,06-05-2010,590
KDV,16,02-01-2010,232
VGO,6,18-08-2010,119
VGO,6,28-02-2020,402
VGO,6,11-04-2017,339
VGO,6,15-12-2020,193
BSO,22,26-08-2019,1966
VGO,6,25-08-2010,1783
BSO,40,17-08-2009,439
KDV,48,01-01-2010,546
KDV,10,07-05-2018,202
VGO,6,20-09-2016,400
KDV,16,01-03-2022,1963
VGO,6,27-09-2010,441
KDV,87,15-08-2011,1892
KDV,12,07-02-2012,232
KDV,24,30-04-2019,1978
VGO,6,08-10-2010,118
VGO,6,14-07-2014,392
BSO,30,10-06-2022,34
VGO,6,19-03-2010,148
VGO,6,22-11-2021,90
BSO,46,13-02-2015,363
VGO,6,27-11-2012,736
VGO,6,10-03-2022,268
KDV,46,28-03-2018,193
VGO,6,23-03-2021,840
BSO,34,09-03-2012,1883
VGO,6,29-10-2021,150
VGO,6,03-09-2014,203
KDV,46,07-05-2009,946
VGO,6,25-01-2016,405
KDV,32,16-06-2014,141
KDV,80,01-01-2010,858
BSO,20,05-06-2018,274
VGO,4,15-01-2021,537
BSO,28,01-07-2011,678
BSO,116,01-01-2010,796
VGO,6,27-09-2010,590
VGO,6,14-06-2010,342
BSO,118,16-07-2012,119
VGO,6,19-02-2013,530
VGO,6,10-02-2022,200
KDV,23,01-01-2013,183
VGO,6,01-04-2021,1894
BSO,22,09-03-2021,1931
KDV,16,01-05-2013,505
KDV,16,08-01-2014,34
VGO,6,29-08-2016,106
VGO,4,02-11-2010,164
BSO,100,19-12-2012,392
VGO,6,20-03-2012,971
VGO,6,12-04-2019,779
KDV,34,01-01-2010,14
VGO,6,01-09-2020,1701
KDV,39,01-01-2010,518
VGO,6,27-12-2018,363
KDV,70,21-10-2004,209
KDV,64,01-01-2010,772
VGO,6,01-07-2022,855
VGO,6,28-11-2014,599
VGO,6,17-12-2019,1859
VGO,6,28-11-2012,289
KDV,28,13-09-2018,310
VGO,6,24-02-2020,14
KDV,32,26-10-2012,363
BSO,44,07-07-2015,590
VGO,6,13-06-2022,158
BSO,22,01-11-2010,1728
VGO,6,10-11-2020,14
BSO,44,20-10-2010,823
VGO,6,13-10-2011,796
VGO,6,10-09-2019,344
BSO,188,01-01-2010,402
